"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases"
"Coweta","2646","US-13077","13","77","152001","133","48","1740.78","31.58","70.39","107"
"Crawford","169","US-13079","13","79","12228","26","5","1382.07","40.89","32.71","4"
"Crisp","581","US-13081","13","81","22289","72","17","2606.67","76.27","224.33","50"
"Dade","287","US-13083","13","83","16162","21","5","1775.77","30.94","123.75","20"
"Dawson","839","US-13085","13","85","27021","76","8","3104.99","29.61","222.05","60"
"DeKalb","19030","US-13089","13","89","793154","2136","371","2399.28","46.78","103.76","823"
"Decatur","1181","US-13087","13","87","26322","91","29","4486.74","110.17","353.32","93"
"Dodge","437","US-13091","13","91","20385","42","12","2143.73","58.87","235.47","48"
"Dooly","345","US-13093","13","93","13400","52","14","2574.63","104.48","179.1","24"
"Dougherty","3164","US-13095","13","95","89905","647","187","3519.27","208","76.75","69"
